doi,caption,classification_ai,classification_gt,result
10.1016/j.jallcom.2005.06.068,"Fig. 4. Crystal structure fragment of $\mathsf{\beta}_{1}\mathrm{-HoNi}_{3}\mathrm{D}_{x}$ (a) as determined in [6] for a centrosymmetric model of composition $\mathrm{HoNi}_{3}\mathrm{D}_{1.8}$ $(R{-}3m$ , occupancies: D1: $64\%$ , D2: $78\%$ ); and (b) for a non-centrosymmetric model of composition $\mathsf{\beta_{1}}\mathrm{-HoNi}_{3}\mathrm{D}_{1.3}$ $R3m$ , D1 and D2 nearly fully occupied) as revised in this work; D-atom environments around $\mathrm{Ni}$ are highlighted. ",0,0.0,TN
10.1016/j.jallcom.2005.06.068,"Fig. 5. Crystal structure of non-centrosymmetric $\mathsf{\beta}_{2}\mathrm{-HoNi}_{3}\mathrm{D}_{1.8}$ $R3m$ , D1 and D2 nearly fully occupied, D3 and D4 partially occupied); D-atom environments around Ni are highlighted. ",0,0.0,TN
10.1016/j.ijhydene.2024.05.120,"Fig. 1. (a,b) XRD patterns and (c,d) phase composition of as-cast alloy and annealed alloys. (e,f) Rietveld refinement patterns of ${\mathrm{Pr}}_{5}{\mathrm{Co}}_{19}$ -type single-phase $\mathrm{La_{0.58}S m_{0.18}Y_{0.01}M g_{0.23}N i_{3.62}A l_{0.16}}$ and $\mathrm{La_{0.58}S m_{0.21}Y_{0.01}M g_{0.20}N i_{3.62}A l_{0.16}}$ alloys annealed at $1005~^{\circ}\mathrm{C}$ . ",0,0.0,TN
10.1016/j.ijhydene.2024.05.120,Fig. 2. SEM and corresponding EDS mapping images of (a) $\mathrm{La_{0.58}S m_{0.18}Y_{0.01}M g_{0.23}N i_{3.62}A l_{0.16}}$ and (b) $\mathrm{La_{0.58}S m_{0.21}Y_{0.01}M g_{0.20}N i_{3.62}A l_{0.16}}$ alloys. ,0,0.0,TN
10.1016/j.ijhydene.2024.05.120,"Fig. 3. Electrochemical performance of ${\mathrm{Pr}}_{5}{\mathrm{Co}}_{19}$ -type single-phase $\mathrm{La_{0.58}S m_{0.18}Y_{0.01}M g_{0.23}N i_{3.62}A l_{0.16}}$ and $\mathrm{La_{0.58}S m_{0.21}Y_{0.01}M g_{0.20}N i_{3.62}A l_{0.16}}$ alloys: (a) activation curves, (b) capacity retention rate curves at various cycle number, (c) rate discharge performance at current densities of 0.2C–4C, discharge curves at (d) $-20~^{\circ}\mathrm{C}_{:}$ 0.2C, (e) $-20~^{\circ}\mathrm{C},$ 1C, and (f) $-40~^{\circ}\mathrm{C},$ 0.2C, respectively. ",2,2.0,TP
10.1016/j.ijhydene.2024.05.120,"Fig. 4. (a) Linear polarization curves, (b) nyquist plots, (c) anodic polarization curves, (d) constant potential step curves, (e,f) TF curves after 5 cycles and 100 cycles of ${\mathrm{Pr}}_{5}{\mathrm{Co}}_{19}.$ -type single phase $\mathrm{La_{0.58}S m_{0.18}Y_{0.01}M g_{0.23}N i_{3.62}A l_{0.16}}$ and $\mathrm{La_{0.58}S m_{0.21}Y_{0.01}M g_{0.20}N i_{3.62}A l_{0.16}}$ alloys. ",2,0.0,FP
10.1016/j.ijhydene.2024.05.120,"Fig. 5. (a) Activation curves, (b,c) P–C-T curves at $25~^{\circ}\mathrm{C}$ $45~^{\circ}\mathrm{C}$ and $65^{\circ}\mathrm{C}_{:}$ (d) Van’t Hoff curves, (e) hydrogen absorption curves at the $1^{s t}$ , $10^{\mathrm{th}}$ , $20^{\mathrm{th}}$ and $40^{\mathrm{th}}$ at 25 $^{\circ}\mathrm{C},5\mathrm{MPa}$ , (f) particle size distribution curves of original alloys and alloy samples after cycling, $^{(g,\mathrm{h})}$ XRD patterns before and after 40 hydrogenation/dehydro­ genation cycles and (i) subunit mismatch coefficient of ${\mathrm{Pr}}_{5}{\mathrm{Co}}_{19}$ -type single phase $\mathrm{La_{0.58}S m_{0.18}Y_{0.01}M g_{0.23}N i_{3.62}A l_{0.16}}$ and $\mathrm{La_{0.58}S m_{0.21}Y_{0.01}M g_{0.20}N i_{3.62}A l_{0.16}}$ alloys after 40 cycles. ",1,1.0,TP
10.1016/j.intermet.2020.106852,Fig. 1. The XRD patterns of the alloy samples. ,0,0.0,TN
10.1016/j.intermet.2020.106852,Fig. 2. The specific phase abundances of the alloy samples. ,0,0.0,TN
10.1016/j.intermet.2020.106852,"Fig. 3. The SEM images of the $\#3$ , $\#5$ and $\#7$ alloy samples. ",0,0.0,TN
10.1016/j.intermet.2020.106852,"Fig. 4. (a) The $P{-}C$ isotherms of the $\#3(\mathrm{La_{0.6}G d_{0.15}M g_{0.25}N i_{3.8}})$ , $\#5(\mathrm{La_{0.6}G d_{0.15}M g_{0.25}N i_{3.5}})$ and $\#7(\mathrm{La_{0.6}G d_{0.15}M g_{0.25}N i_{3.0}})$ alloy electrodes; (b) the magnified P–C isotherms of the $\#3$ , $\#5$ and $\#7$ alloy electrodes. ",1,1.0,TP
10.1016/j.intermet.2020.106852,"Fig. 5. The discharge voltage vs. capacity curves of the $\#3$ , $\#5$ and $\#7$ alloy electrodes. ",2,2.0,TP
10.1016/j.intermet.2020.106852,Fig. 6. (a) The discharge capacity at different discharge current density; (b) the high rate dischargeability (HRD) curves of the alloy electrodes. ,2,2.0,TP
10.1016/j.intermet.2020.106852,Fig. 7. (a) The linear polarization curves; (b) the anode polarization curves; (c) The semi-logarithmic plots of anodic current density vs. time responses of the alloy electrodes. ,0,0.0,TN
10.1016/j.ijhydene.2023.05.011,"Fig. 1 e XRD patterns of the $\mathbf{La_{0.65}S m_{0.12}M g_{0.23}N i_{3.60}A l_{0.15}}$ and $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys in a 2 theta range of (a) $\mathbf{10}\mathbf{-80}^{\circ}$ and (b) ${\bf30^{\circ}-34^{\circ}}$ . (c) Rietveld refinement on the XRD data of the (c) $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and (d) $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys. The black and blue curves represent the raw data and fitted pattern, respectively. The blue vertical bars blow the raw data are the diffraction positions of the $\mathbf{A}\mathbf{B_{4}}$ -type structure, and the lines below the bars present the differential line. (e) The crystal structure of $\mathbf{A}\mathbf{B}_{4}$ -type $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloy with a R-3m group. ",0,0.0,TN
10.1016/j.ijhydene.2023.05.011,Fig. 2 e SEM images and corresponding EDS images showing the elements' distribution of the $\mathbf{A}\mathbf{B}_{4}$ -type (a) $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and (b) $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys. ,0,0.0,TN
10.1016/j.ijhydene.2023.05.011,"Fig. 3 e PCT curves of the $\mathbf{AB}_{4}$ -type (a) $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and (b) La0.65Sm0.12Y0.10Mg0.13Ni3.60Al0.15 alloys at 298 K, 323 K and 348 K. Van't Hoff plots of the $\mathbf{AB}_{4}$ -type (c) $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and (d) $\mathbf{La_{0.65}}\mathbf{S}\mathbf{m_{0.12}}\mathbf{Y_{0.10}}\mathbf{M\mathbf{g_{0.13}}}\mathbf{Ni_{3.60}}\mathbf{Al_{0.15}}$ alloys calculated based on the PCT curves. ",1,1.0,TP
10.1016/j.ijhydene.2023.05.011,"Fig. 4 e (a) Activation curves, (b) GCD curves at the secondary cycle at $\mathbf{\alpha}_{293}\mathbf{\beta}_{\mathrm{K}},$ (c) Cycling performance within 500 cycles, (d) GCD curves at 253 K, (e) GCD curves at $\mathbf{233}~\mathbf{K},$ (f) High rate discharge ability at 0.2Ce5C, $\mathbf{\rho}(\mathbf{g})$ Linear polarization curves, (h) Anodic polarization curves, and (i) Potential step measurement curves of the $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys. ",2,2.0,TP
10.1016/j.ijhydene.2023.05.011,Fig. 5 e SEM images of the $\mathsf{a}_{1}{-}\mathsf{a}_{3})\mathrm{La}_{0.65}\mathsf{S m}_{0.12}\mathbf{M}\mathsf{g}_{0.23}\mathbf{Ni}_{3.60}\mathsf{A l}_{0.15}$ and $\bf(b_{1}-b_{3})$ $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys after cycling 50 times. ,0,0.0,TN
10.1016/j.ijhydene.2023.05.011,Fig. 6 e Particle size distributions of the $\mathbf{A}\mathbf{B_{4}}$ -type (a) $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and (b) $\mathbf{La_{0.65}}\mathbf{Sm_{0.12}}\mathbf{Y_{0.10}}\mathbf{Mg_{0.13}}\mathbf{Ni_{3.60}}\mathbf{Al_{0.15}}$ alloys of the original alloys and alloys after cycling 10 and 50 times. XRD patterns of the $\mathbf{L}\mathbf{a}_{0.65}\mathbf{S}\mathbf{m}_{0.12}\mathbf{M}\mathbf{g}_{0.23}\mathbf{Ni}_{3.60}\mathbf{Al}_{0.15}$ and $\mathbf{La_{0.65}S m_{0.12}Y_{0.10}M g_{0.13}N i_{3.60}A l_{0.15}}$ alloys after cycling (c) 10 times and (d) 50 times. ,0,0.0,TN
10.1016/j.jallcom.2006.12.137,Fig. 1. Increase of the unit cell volumes upon Mn substitution for $\mathrm{Ni}$ in the structure of LaNi3 showing area of existence of two types of the structures adopted by the alloys $(\mathrm{PuNi}_{3}$ and ${\mathrm{CeNi}}_{3}$ ). ,0,0.0,TN
10.1016/j.jallcom.2006.12.137,"Fig. 2. Powder neutron diffraction pattern of the $\mathrm{LaNi}_{2.67}\mathrm{Mn}_{0.33}$ alloy (R2D2 instrument, $\lambda=1.5514\mathrm{\AA}$ ) showing observed $(+)$ , calculated (upper line) and difference (lower line) pattern. Positions of the peaks are marked. ",0,0.0,TN
10.1016/j.jallcom.2006.12.137,"Fig. 3. Powder X-ray diffraction pattern of the $\mathbf{La}_{1.5}\mathbf{Mg}_{0.5}\mathbf{Ni}_{7}$ alloy showing observed $(+)$ , calculated (line) and difference (lower line) pattern. Positions of the peaks are marked. ",0,0.0,TN
10.1016/j.jallcom.2006.12.137,"Fig. 4. Powder neutron diffraction pattern of the $\mathrm{LaNi}_{3}\mathrm{D}_{2.8}$ deuteride showing calculated (upper line), observed $(+)$ and difference (lower line) pattern. Positions of the peaks are marked. Arrows indicate peaks, which are not allowed in the trigonal symmetry. Inlets show splitting of the peaks in the SR XRD pattern because of a monoclinic distortion of the metal matrix of the deuteride. ",0,0.0,TN
10.1016/j.jallcom.2006.12.137,"Fig. 5. Crystal structures of the $\mathrm{LaNi}_{3}$ intermetallic compound (a) and the $\mathrm{LaNi}_{3}\mathrm{D}_{2.8}$ deuteride, (b) “anisotropic” expansion of the metal sublattice upon hydride formation is shown for two different types of the available structure slabs $({\bf I}-{\bf M}{\bf g}Z{\bf n}_{2}$ and $\mathrm{II-CaCu}_{5}$ ). Due to monoclinic distortion, the ${\mathrm{AB}}_{2}$ slabs in the structure of hydride become nonequivalent, having $\mathrm{LaNi_{2}D}_{4.5}$ (Ia) and $\mathrm{LaNi}_{2}\mathrm{D}_{3.2}$ $(\boldsymbol{\mathrm{I}}\boldsymbol{b})$ compositions. Difference in deuterium content between the $\mathrm{AB}_{5}$ layers (IIa and IIb) is less pronounced, $\mathrm{LaNi_{5}D}_{0.25-0.28}$ . ",3,0.0,FP
10.1016/j.jallcom.2006.12.137,"Fig. 6. Types of occupied interstices in the structure of $\mathrm{LaNi}_{3}\mathrm{D}_{2.8}$ , both existing in the $\mathrm{LaNi}_{3}$ structure (a, b) and, also, formed due to the deformation of the $\mathrm{AB}_{2}$ layers (c–e). ",0,0.0,TN
10.1016/j.ijhydene.2016.09.049,Fig. 1 e Refined analyses of powder XRD data of the LaeYe NieMneAl alloys. ,0,0.0,TN
10.1016/j.ijhydene.2016.09.049,Fig. 2 e SEMs of the LaeYeNieMneAl alloys. ,0,0.0,TN
10.1016/j.ijhydene.2016.09.049,Fig. 3 e Absorption/desorption Pec isotherms of the LaeYe $\mathbf{Ni}{-}\mathbf{Mn}{-}\mathbf{Al}$ alloys at 313 K. ,1,1.0,TP
10.1016/j.ijhydene.2016.09.049,Fig. 4 e Logarithm of the equilibrium pressure $(\mathbb{P}_{\mathrm{H}_{2}})$ versus the reciprocal of temperature $(1/\mathbb{T})$ . ,3,3.0,TP
10.1016/j.ijhydene.2016.09.049,Fig. 5 e Discharge potential curves of the LaeYeNieMneAl alloy electrodes. ,2,2.0,TP
10.1016/j.ijhydene.2016.09.049,Fig. 6 e Activation curves (a) and cyclic stability curves (b) of the LaeYeNieMneAl alloy electrodes. ,0,0.0,TN
10.1016/j.ijhydene.2016.09.049,Fig. 7 e High-rate dischargeability of the LaeYeNieMneAl alloy electrodes at 298 K. ,2,2.0,TP
10.1016/j.ijhydene.2022.09.280,"Fig. 1 e XRD patterns of $\mathbf{La}_{1.5}\mathbf{Y}_{1.5}\mathbf{Ni}_{12}$ (a) and $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ (b) alloys annealed at different temperatures. ",0,0.0,TN
10.1016/j.ijhydene.2022.09.280,"Fig. 2 e SEM images of $\mathbf{La}_{1.5}\mathbf{Y}_{1.5}\mathbf{Ni}_{12}$ alloy annealed at $\mathbf{1100}^{\circ}\mathbf{C}$ (a), 1115 $\mathbf{\bar{\rho}}^{\circ}\mathbf{C}$ (b), $\mathbf{11}2\mathbf{0}^{\mathrm{~\circ~}}\mathbf{C}$ (c), 1125 $\mathbf{\bar{\rho}}^{\circ}\mathbf{C}$ (d) and $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ alloy annealed at ${\bf1050^{\circ}C}$ (e), ${\bf1070^{\circ}C}$ $(\pmb{\uprho},$ 1085 $^\circ\mathbf{c}$ (g), $\mathbf{1088}~^{\circ}\mathbf{C}$ (h), $\bf{1095^{\circ}C}$ (i). ",0,0.0,TN
10.1016/j.ijhydene.2022.09.280,"Fig. 3 e Schematic diagrams showing the 2H- $\bf P r_{5}C o_{19}$ -type and ${\boldsymbol{3\mathrm{R}}}{\boldsymbol{-A\mathrm{B_{4}}}}$ -type structures in $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ alloy. ",0,0.0,TN
10.1016/j.ijhydene.2022.09.280,Fig. 4 e Gaseous PCT curve at $\mathbf{40}\phantom{.}^{\circ}\mathbf{C}$ (a) and electrochemical PCT curves at 25 $^\circ\mathbf{c}$ (b) for two 3R- $\mathbf{AB_{4}}$ -type single-phase alloys. ,1,1.0,TP
10.1016/j.ijhydene.2022.09.280,"Fig. 5 e XRD patterns at different PCT testing stages for two 3R- $\mathbf{AB_{4}}$ -type single-phase $\mathbf{La}_{1.5}\mathbf{Y}_{1.5}\mathbf{Ni}_{12}$ (a) and $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ (b) alloys. ",1,1.0,TP
10.1016/j.ijhydene.2022.09.280,"Fig. 6 e Curves of the $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ alloy in different annealed states: (a) electrochemical cycling, (b) retention of discharge capacity. ",2,2.0,TP
10.1016/j.ijhydene.2022.09.280,"Fig. 7 e Curves of $\mathbf{La}_{1,5}\mathbf{Y}_{1,5}\mathbf{Ni}_{11}\mathbf{Mn}_{1,0}$ alloy in different annealed states: (a) high rate discharge, (b) linear polarization, (c) constant potential step, (d) AC impedance map. ",2,2.0,TP
10.1016/j.jre.2024.02.003,"Fig. 1. (a) XRD patterns of $\mathrm{La}_{0.66}\mathrm{Mg}_{0.34}\mathrm{Ni}_{3.5-x}\mathrm{C}0_{x}$ $x=0$ , 0.1, 0.2, 0.3, 0.4) alloys; Rietveld refinement of the alloys: (b) $x=0$ ; (c) $x=0.1$ ; (d) $x=0.2$ ; (e) $x=0.3$ (f) $x=0.4$ ",0,0.0,TN
10.1016/j.jre.2024.02.003,"Fig. 2. SEM-EDS (a, c) and TEM (b, d) images of the La0.66Mg0.34Ni3.5 $_{-x}\mathbf{C}0_{x}$ $x=0$ , 0.1) alloys. ",0,0.0,TN
10.1016/j.jre.2024.02.003,"Fig. 3. La 3d (a), $\mathrm{Mg}$ 1s (b) and Ni 2p (c) XPS of the $\mathrm{La}_{0.66}\mathrm{Mg}_{0.34}\mathrm{Ni}_{3.5-x}\mathrm{C}0_{x}\left(x=0,0.1\right)$ alloys. ",0,0.0,TN
10.1016/j.jre.2024.02.003,"Fig. 4. Hydrogen absorption kinetics at different temperatures: $x=0$ (a), $x=0.1$ (b), $x=0.2$ (c), $x=0.3$ (d), $x=0.4$ (e), different Co content at $298\mathrm{K}$ (f), dehydrogenation kinetics (g) and diffusion model of $\mathsf{L a}_{0.66}\mathsf{M g}_{0.34}\mathsf{N i}_{3.4}\mathsf{C o}_{0.1}$ alloy (h); (i) Plot of lnk versus $1000/T.$ . ",3,3.0,TP
10.1016/j.jre.2024.02.003,"Fig. 5. PCT curves at different temperatures: $x=0$ (a), $x=0.1$ (b), $x=0.2$ (c), $x=0.3$ (d), $x=0.4$ (e) and different Co contents at 298 K (f). ",1,1.0,TP
10.1016/j.jre.2024.02.003,Fig. 6. (a) Cyclic property of the $\mathsf{L a}_{0.66}\mathsf{M g}_{0.34}\mathsf{N i}_{3.4}\mathsf{C o}_{0.1}$ alloy; (b) XRD patterns of $\mathsf{L a}_{0.66}\mathsf{M g}_{0.34}\mathsf{N i}_{3.4}\mathsf{C o}_{0.1}$ after the 100th cycle; Particle size distributions of $\mathrm{La_{0.66}M g_{0.34}N i_{3.4}C o_{0.1}}$ after 10 (c) and 100 (d) cycle; (e) TEM images of $\mathsf{L a}_{0.66}\mathsf{M g}_{0.34}\mathsf{N i}_{3.4}\mathsf{C o}_{0.1}$ after cycling. ,3,0.0,FP
10.1016/j.ijhydene.2023.10.123,"Fig. 1. XRD patterns of quenched $(\mathrm{La}_{0.33}\mathrm{Y}_{0.67})_{5}\mathrm{Ni}_{18.1-x}\mathrm{Mn}_{0.9}\mathrm{Al}_{x}(x=0,0.3,0.6$ , 0.9) alloys. ",0,0.0,TN
10.1016/j.ijhydene.2023.10.123,"Fig. 2. SEM backscattering images of $(\mathrm{La}_{0.33}\mathrm{Y}_{0.67})_{5}\mathrm{Ni}_{18.1-x}\mathrm{Mn}_{0.9}\mathrm{Al}_{x}$ $(x=0$ , 0.3, 0.6, 0.9) alloys. ",0,0.0,TN
10.1016/j.ijhydene.2023.10.123,Fig. 3. Schematic diagram of $2\mathrm{H}{-}\mathrm{Pr}_{5}\mathrm{Co}_{19}$ phase of the alloy $\mathrm{(La_{0.33}Y_{0.67})_{5}N i_{17.5}M n_{0.9}A l_{0.6}}$ . ,0,0.0,TN
10.1016/j.ijhydene.2023.10.123,Fig. 4. Al occupancy and subunit volume difference as a function of Al content. ,0,0.0,TN
10.1016/j.ijhydene.2023.10.123,"Fig. 5. Electrochemical discharge PCT curves (a), electrochemical charge/discharge cycle curves (b), electrochemical capacity retention rate (c), and Tafel polar­ ization curves (d) of $\mathrm{(La_{0.33}Y_{0.67})_{5}N i_{18.1-x}M n_{0.9}A l}_{x}$ $(x=0$ , 0.3, 0.6, 0.9) alloys. ",1,1.0,TP
10.1016/j.ijhydene.2023.10.123,"Fig. 6. SEM morphologies of $(\mathrm{La}_{0.33}\mathrm{Y}_{0.67})_{5}\mathrm{Ni}_{18.1-x}\mathrm{Mn}_{0.9}\mathrm{Al}_{x}$ $\scriptstyle{\mathbf{\hat{\rho}}}x=0$ , 0.3, 0.6, 0.9) electrode alloys after 100 cycles. ",0,0.0,TN
10.1016/j.ijhydene.2023.10.123,"Fig. 7. XRD patterns of $\mathrm{(La_{0.33}Y_{0.67})_{5}N i_{18.1-x}M n_{0.9}A l}_{x}$ $(x=0.3$ , 0.6, 0.9) alloys after 100 charge/discharge cycles. ",0,2.0,FN
10.1016/j.ijhydene.2023.10.123,"Fig. 8. Rate discharge (a), linear polarization (d), and constant potential step (c) curves of the $\mathrm{(La_{0.33}Y_{0.67})_{5}N i_{18.1-x}M n_{0.9}A l}_{x}$ $\scriptstyle(x=0$ , 0.3, 0.6, 0.9) alloys. ",2,2.0,TP
10.1016/j.ijhydene.2023.10.123,"Fig. 9. Variation of $H R D_{900}$ , exchange current density $I_{0}.$ and hydrogen atom diffusion coefficient $D_{0}$ with Al content. ",0,,TN
10.1016/j.ijhydene.2018.07.086,Fig. 1 e The calculated relationship between the saturated vapor pressure $\mathbf{P}^{0}$ of $\mathbf{M}\mathbf{g}$ and the temperature T. ,0,0.0,TN
10.1016/j.ijhydene.2018.07.086,Fig. 2 e The loss rate of the Mg of the alloy of three groups after annealing at different temperature for $_2\textbf{h}$ . ,3,0.0,FP
10.1016/j.ijhydene.2018.07.086,Fig. 3 e The loss rate of the Mg of the alloy of three groups after annealing at 950 K for different hours. ,3,0.0,FP
10.1016/j.ijhydene.2018.07.086,Fig. 4 e The phase ratios of alloys in different groups after annealing at different temperature for $\mathbf{4}\mathbf{h}$ . ,0,0.0,TN
10.1016/j.ijhydene.2018.07.086,Fig. 5 e The phase ratio of alloys in different groups after annealing for different time at $950~^{\circ}\mathbf{C}$ . ,0,0.0,TN
10.1016/j.ijhydene.2018.07.086,Fig. 6 e The effects of temperature increment on hydrogen storage capacity of the alloy in different groups. (a) The relationship between the Temperature and the Max Hydrogenation Capacity (MHC); (b) The relationship between the Temperature and the Effective Dehydrogenation Capacity (EDC). ,3,3.0,TP
